"id","legislative_session:number","motion:title","start_date","start_time"
"4518",18,"Pokusné hlasování","2001-09-25","07:36:05"
"4519",18,"Pokusné hlasování","2001-09-25","08:26:19"
"4520",18,"Pokusné hlasování","2001-09-25","08:30:17"
"4521",18," ","2001-09-25","08:38:34"
"4522",18,"Program","2001-09-25","08:40:00"
"4523",18,"Program","2001-09-25","08:42:18"
"4524",18,"Komise návrhová","2001-09-25","08:43:50"
"4525",18,"Komise návrhová","2001-09-25","08:45:11"
"4526",18,"Komise návrhová","2001-09-25","08:46:35"
"4527",18,"Zona nošovice-p.Recman","2001-09-25","09:08:42"
"4528",18,"Vystoupení","2001-09-25","09:59:12"
"4529",18,"Rozpočet-N-Ing.Richtrová","2001-09-25","10:24:55"
"4530",18,"Rozpočet-N-Ing.Richtrová-2","2001-09-25","10:25:44"
"4531",18,"Rozpočet-N-Ing.Pavlík","2001-09-25","10:27:06"
"4532",18,"Rozpočet-N-Ing.Pavlík-2","2001-09-25","10:28:34"
"4533",18,"Rozpočet-celek","2001-09-25","10:29:31"
"4534",18,"4a1","2001-09-25","11:05:03"
"4535",18,"4b","2001-09-25","11:07:59"
"4536",18,"4c","2001-09-25","11:10:30"
"4537",18,"4d","2001-09-25","11:11:54"
"4538",18,"4e","2001-09-25","11:13:19"
"4539",18,"4f","2001-09-25","11:14:37"
"4540",18,"4g","2001-09-25","11:16:04"
"4541",18,"4g-dodatek","2001-09-25","11:17:53"
"4542",18,"4h","2001-09-25","11:19:27"
"4543",18,"4i","2001-09-25","11:20:31"
"4544",18,"4j","2001-09-25","11:21:46"
"4545",18,"4k","2001-09-25","11:22:48"
"4546",18,"4l","2001-09-25","11:24:26"
"4547",18,"4m","2001-09-25","11:26:34"
"4548",18,"4n","2001-09-25","11:27:46"
"4549",18,"4o-a","2001-09-25","11:29:24"
"4550",18,"4p","2001-09-25","11:32:41"
"4551",18,"4r","2001-09-25","11:33:56"
"4552",18,"4s","2001-09-25","11:34:55"
"4553",18," ","2001-09-25","12:18:27"
"4554",18," ","2001-09-25","12:19:46"
"4555",18,"5-majetek-89","2001-09-25","12:24:56"
"4556",18,"5-majetek-67","2001-09-25","12:25:33"
"4557",18,"5-majetek-III.17","2001-09-25","12:26:38"
"4558",18,"5-majetek-54","2001-09-25","12:28:10"
"4559",18,"5-majetek-53","2001-09-25","12:28:51"
"4560",18,"5-majetek-99","2001-09-25","12:29:38"
"4561",18,"5-majetek-celek","2001-09-25","12:30:15"
"4562",18,"5b","2001-09-25","12:34:03"
"4563",18,"5c-N-","2001-09-25","13:23:57"
"4564",18,"5/c Konůpka","2001-09-25","14:44:34"
"4565",18,"5d","2001-09-25","14:46:03"
"4566",18,"5e","2001-09-25","14:54:03"
"4567",18,"6a-Ing.Říman","2001-09-25","15:16:00"
"4568",18,"6a-Ing.Roháč-63","2001-09-25","15:17:19"
"4569",18,"6a-celek","2001-09-25","15:18:22"
"4570",18,"6a-revokace bod 10 a 74","2001-09-25","15:28:31"
"4571",18,"6a-10 a 74","2001-09-25","15:34:59"
"4572",18,"6b-Ing.Chýlek","2001-09-25","16:33:05"
"4573",18,"6b-Ing.Říman","2001-09-25","16:36:37"
"4574",18,"6b-celek","2001-09-25","16:37:45"
"4575",18,"konec diskuse","2001-09-25","17:24:24"
"4576",18,"vystoupení","2001-09-25","17:34:15"
"4577",18,"6c-Ing.Železník-1","2001-09-25","17:41:01"
"4578",18,"6c-Ing.Železník-2","2001-09-25","17:41:35"
"4579",18,"6c-celek","2001-09-25","17:42:31"
"4580",18,"6c-doplňky+celé","2001-09-25","17:44:03"
"4581",18,"7a","2001-09-25","17:58:35"
"4582",18,"dotaz 10 hodin jednání","2001-09-25","17:59:37"
"4583",18,"7b","2001-09-25","18:16:01"
"4584",18,"7c","2001-09-25","18:37:27"
"4585",18,"7d-Ing.Konůpka","2001-09-25","18:55:09"
"4586",18,"8b","2001-09-25","18:56:20"
"4587",18,"8c","2001-09-25","19:27:54"
"4588",18,"doplnění volební komise","2001-09-25","19:30:05"
"4589",18,"typ volby","2001-09-25","19:30:46"
"4590",18,"odvolání","2001-09-25","19:31:33"
"4591",18,"volba člena KV","2001-09-25","19:32:13"
"4592",18,"8e","2001-09-25","19:33:46"
"4599",19," ","2001-12-11","07:34:25"
"45100",19," ","2001-12-11","09:38:33"
"45101",19,"a) Návrh 5. změny rozpočtu města Frýdku-Místku pro rok","2001-12-11","09:46:18"
"45102",19,"a) Návrh 5. změny rozpočtu města Frýdku-Místku pro rok","2001-12-11","10:08:21"
"45103",19,"a) Návrh 5. změny rozpočtu města Frýdku-Místku pro rok","2001-12-11","10:11:35"
"45104",19,"a) Návrh 5. změny rozpočtu města Frýdku-Místku pro rok","2001-12-11","10:12:37"
"45105",19,"a) Návrh 5. změny rozpočtu města Frýdku-Místku pro rok","2001-12-11","10:13:22"
"45106",19,"- p.Kleinwechtr","2001-12-11","10:14:14"
"45107",19,"-.Ing.Konůpka","2001-12-11","10:14:47"
"45108",19,"-.Ing.Konůpka","2001-12-11","10:15:10"
"45109",19,"-.Ing.Konůpka","2001-12-11","10:15:35"
"45110",19,"-Ing.Sehoř","2001-12-11","10:16:15"
"45111",19,"- celek","2001-12-11","10:32:21"
"45112",19,"- celek","2001-12-11","10:33:03"
"45113",19,"b)  Návrh na uzavření smluv o poskytnutí neinvestičních dotací ze                     9.10 - 9.15     ","2001-12-11","10:34:56"
"45114",19,"c)  Návrh na uzavření smluv o poskytnutí neinvestičních dotací a příspěvků           9.15-9.20","2001-12-11","10:35:57"
"45115",19,"d)  Návrh na uzavření smluv o poskytnutí neinvestiční dotace příspěvku                9.20-9.25  ","2001-12-11","10:38:41"
"45116",19," e) Návrh na doplnění účelu poskytnuté neinvestiční dotace z rozpočtu města         9.25-9.30","2001-12-11","10:40:31"
"45117",19," e) Návrh na doplnění účelu poskytnuté neinvestiční dotace z rozpočtu města         9.25-9.30","2001-12-11","10:44:41"
"45118",19,"g)  Dotace z charitativního fondu města Frýdek-Místek                                        9.45 - 9.50","2001-12-11","10:45:30"
"45119",19,"h)  Dotace ze zdravotního fondu města Frýdek-Místek                                       9.50 -  9.55","2001-12-11","10:54:15"
"45120",19,"i) Dotace ze zdravotního fondu města Frýdek-Místek - změna účelu                9.55 - 10.00","2001-12-11","10:55:59"
"45121",19,"- zvlášť body 5 a 9","2001-12-11","11:20:49"
"45122",19,"j)  Smlouvy o poskytnutí neinvestiční a investiční dotace (OSSl)                  10.00 - 10.05","2001-12-11","11:23:32"
"45123",19,"k)  Investiční transfery a neinvestiční příspěvek z fondu životního                10.05 - 10.10","2001-12-11","11:24:26"
"45124",19,"l)  Vyplacení dotace z Fondu regenerace města Frýdek-Místek                      10.10 - 10.15","2001-12-11","11:26:46"
"45125",19,"m) Změna úvěrové smlouvy města Frýdek-Místek /FO/                                  10.15 - 10.20                                                    ","2001-12-11","11:27:59"
"45126",19," n)  Uzavření dodatku č.1 ke ","2001-12-11","11:29:52"
"45127",19," n1) ","2001-12-11","11:31:05"
"45128",19,"n2)","2001-12-11","11:31:57"
"45129",19,"n3)","2001-12-11","11:34:14"
"45130",19,"   n4)","2001-12-11","11:35:24"
"45131",19,"                ","2001-12-11","12:53:58"
"45132",19,"- návrh 1.000.000,- Kč ","2001-12-11","13:05:32"
"45133",19,"  p1","2001-12-11","14:39:02"
"45134",19,"  p1","2001-12-11","14:40:40"
"45135",19,"-rozpočet - Mgr.Rumian","2001-12-11","15:23:13"
"45136",19,"p)   Návrh pravidel rozpočtového provizoria města Frýdku-Místku       10.35 - 11.05","2001-12-11","15:23:39"
"45137",19," r)   Návrh dílčích projektů Programu prevence kriminality na rok 2002     11.05 - 11.15","2001-12-11","15:25:46"
"45138",19,"s)    Návrh na uzavření smluv o poskytnutí neinvestičních dotací z Centra   11.15-11.25","2001-12-11","15:30:41"
"45139",19," t)   Uzavření smluv o poskytnutí dotací z rozpočtu města  na r.2002          11.25 -11.30","2001-12-11","15:31:42"
"45140",19,"            u)   Smlouvy o poskytnutí neinvestiční dotace na rok 2002 /OSSl)             11.30-11.35","2001-12-11","15:34:10"
"45141",19,"v) - změna programu","2001-12-11","15:35:51"
"45142",19,"- dodatek ke smlouvě SOU Technické","2001-12-11","15:37:01"
"45143",19," ","2001-12-11","16:12:40"
"45144",19,"a) Hospodaření s majetkem města - nabytí,prodeje nemovitostí,zřízení","2001-12-11","16:16:24"
"45145",19,"b) Zařazení obytných domů č.p.1334 a č.p.1335, ul.Dlouhá, k.ú. Frýdek do          11.50-11.55","2001-12-11","16:17:53"
"45146",19,"c)  Zastavení nemovitostí ve vlastnictví města Frýdek-Místek v souvislosti           11.55-12.05","2001-12-11","16:19:00"
"45147",19,"d)  Návrh na prominutí poplatků z prodlení vzniklých neplacením nájemného       12.05-12.15","2001-12-11","16:22:40"
"45148",19,"e)  Zásady pro prominutí dluhu z titulu neuhrazeného nájemného za užívání        12.15 - 12.35","2001-12-11","16:25:27"
"45149",19," ","2001-12-11","17:08:33"
"45150",19," ","2001-12-11","17:23:34"
"45151",19,"-7a - Ing. Pavlík - návrh","2001-12-11","17:29:24"
"45152",19,"- 7a - Ing.Konůpka - návrh hlasovat o bodu 4 zvlášť","2001-12-11","17:30:14"
"45153",19,"- 7a - celek s pozměňujícími navrhy","2001-12-11","17:31:05"
"45154",19,"a) Obecně závazná vyhláška č…../2001 města Frýdek-Místek o                          12.40-13.00","2001-12-11","17:33:14"
"45155",19,"8b - MUDr. Vašek","2001-12-11","17:59:03"
"45156",19,"8b - 348,- Kč","2001-12-11","17:59:45"
"45157",19,"8b - 384,- Kč","2001-12-11","18:00:10"
"45158",19," ","2001-12-11","18:01:01"
"45159",19," ","2001-12-11","18:01:42"
"45160",19,"c) Obecně závazná vyhláška č. …../2001, kterou se mění vyhláška                     14.20-14.25","2001-12-11","18:03:52"
"45161",19,"d)  Obecně závazná vyhláška o stanovení provozní doby hostinských a ","2001-12-11","18:09:22"
"45162",19,"a) Udělení pamětního listu města Frýdku-Místku panu Václavu Červenkovi         14.35-14.40","2001-12-11","18:10:25"
"45163",19,"c) Stanovení paušální částky neuvolněným členům zastupitelstva města, kteří        14.45-14.50","2001-12-11","18:20:27"
"45164",19,"d)  Návrh na vyplacení další odměny neuvolněným členům zastupitelstva města   14.50-14.55","2001-12-11","18:21:20"
"45165",19,"e)  Návrh na uzavření smlouvy o vytvoření dobrovolného svazku obcí                   14.55-15.05    ","2001-12-11","18:24:35"
"45166",19,"- 9f - p.Janásek - návrh","2001-12-11","19:00:39"
"45167",19,"9g) Sjednocení způsobu vyúčtování příspěvků......","2001-12-11","19:10:48"
"45168",19,"Revokace usnesení 7a) ....","2001-12-11","19:16:16"
"45169",19,"Revokace usnesení 8b) .... schvaluje výši 348","2001-12-11","19:19:08"
"45201",20," ","2002-02-12","15:20:14"
"45202",20," ","2002-02-12","15:20:54"
"45203",20,"Doplnění bodu 5e)","2002-02-12","15:21:31"
"45204",20," ","2002-02-12","15:22:04"
"45205",20,"1. Zahájení - volba návrhové a volební  komise                                         ","2002-02-12","15:24:02"
"45206",20,"1. Zahájení - volba návrhové a volební  komise                                         ","2002-02-12","15:24:53"
"45207",20," - určení ověřovatelů zápisu             ","2002-02-12","15:26:13"
"45208",20,"2. HOSPODAŘENÍ S MAJETKEM MĚSTA F-M:","2002-02-12","15:28:17"
"45209",20,"2a) hlasování o bodu 5. zvlášť","2002-02-12","15:52:19"
"45210",20,"2a)  Hospodaření s majetkem města - prodej a nabytí nemovitostí, záměry  města F-M ","2002-02-12","15:52:56"
"45211",20,"2a) dodatek záměr a OZV","2002-02-12","15:58:26"
"45212",20,"2b)   Prodej domu č.p. 2832 vč.zastavěného a souvisejících pozemků, k.ú. Frýdek","2002-02-12","16:01:26"
"45213",20,"2c)    Postoupení pohledávky                                                                       ","2002-02-12","16:04:23"
"45214",20,"2d)   Prodej obytného domu č.p.334, ul. Třanovského, F-M vč. zastavěného pozemku ","2002-02-12","16:06:31"
"45215",20,"2e)    Řešení právních vztahů k objektu č.p.517, ul.ČSA, k.ú. Místek","2002-02-12","16:08:06"
"45216",20,"Volba tajná","2002-02-12","16:18:19"
"45217",20,"3. VOLBA PŘÍSEDÍCÍCH OKRESNÍHO SOUDU ve Frýdku-Místku   ","2002-02-12","16:19:05"
"45218",20,"4.1 Návrh ukončení diskuse","2002-02-12","17:05:20"
"45219",20,"4.1 Návrh usnesení Ing. Říman - provedení kontroly","2002-02-12","17:16:38"
"45220",20,"4a) Návrh na usnesení p. Janásek","2002-02-12","17:54:15"
"45221",20,"4a) Návrh rozpočtové změny Ing. Říman - oprava komunikací","2002-02-12","17:56:03"
"45222",20,"4a) Návrh na vyjmutí z dotací - Shotokan Ing. Richtrová","2002-02-12","17:56:38"
"45223",20,"4a) Návrh rozpočtu města Frýdku-Místku pro rok 2002 a návrh rozpočtového výhledu města Frýdku-Místku na léta 2003-2004","2002-02-12","17:57:09"
"45224",20,"4b) Hlasování o bodu 1. samostatně Ing.RSDr.Recman","2002-02-12","17:59:12"
"45225",20,"4b) Uzavření smluv o poskytnutí dotací z rozpočtu města /FO/ ","2002-02-12","17:59:40"
"45226",20,"4c)   Poskytnutí neinvestiční dotace na provoz městské hromadné dopravy    ","2002-02-12","18:01:05"
"45227",20,"4d)  Smlouva o poskytnutí investiční dotace města F-M Nemocnici ve F-M na nákup zdravotní techniky","2002-02-12","18:01:58"
"45228",20,"4e) Smlouva o poskytnutí investiční dotace Nemocnici ve F-M - určení výtěžku sbírky pod vánočním stromem v roce 2001","2002-02-12","18:02:54"
"45229",20,"4f)  Dodatek č. l ke Smlouvě o poskytnutí neinvestiční dotace pro sdružení Podané ruce - Společnost pro canisterapii a osobní asistenci se sídlem ul.","2002-02-12","18:03:49"
"45230",20,"4h)  Návrh na uzavření smluv o poskytnutí neinvestičních dotací ze sportovního fondu","2002-02-12","18:05:17"
"45231",20,"4i) Investiční transfery z fondu ŽP                                   ","2002-02-12","18:06:17"
"45232",20,"4j) Návrh rozpočtového opatření - Ing.Richtrová","2002-02-12","18:09:36"
"45233",20,"4j) Návrh l. změny rozpočtu města Frýdku-Místku pro rok 2002 formou rozpočtových opatření - celek","2002-02-12","18:10:12"
"45234",20,"5b) Návrh usnesení - RSDr. Ing. Recman","2002-02-12","18:46:48"
"45235",20,"5b) Návrh usnesení - Mgr. Rumian","2002-02-12","18:51:11"
"45236",20,"5b) Dodatek č.2 k Jednacímu řádu Zastupitelstva města Frýdku-Místku,Statut a jednací řád kontrolního výboru Zastupitelstva města F-M              ","2002-02-12","18:51:41"
"45237",20,"5c) Návrh na stanovení měsíční odměny za výkon funkce u neuvolněného člena ZM RSDr.Ing.Svatomír Recmana str.48   ","2002-02-12","18:52:53"
"45238",20,"5d) Návrh na stanovení výše odměn pro členy komisí rady města, kontrolního výboru ZM, finančního výboru ZM, majetkového výboru","2002-02-12","18:54:00"
"45239",20,"7b) Návrh na usnesení - Ing.Konůpka","2002-02-12","19:52:40"
"45240",20,"7a) Návrh na usnesení ","2002-02-12","19:53:41"
"45241",21,"-  hlasování o doplnění programu p.Holý","2002-03-26","08:13:34"
"45242",21,"- hlasování o návrhu celého programu","2002-03-26","08:14:10"
"45243",21,"- hlasování o  složení návrhové  komise                                                                 ","2002-03-26","08:15:19"
"45244",21,"- hlasování o určení ověřovatelů zápisu             ","2002-03-26","08:16:39"
"45245",21,"4/a) p.Janásek - návrh změny rozpočtu - Kino Vlast","2002-03-26","08:53:19"
"45246",21,"4/a) Návrh 2. změny rozpočtu města F-M pro rok 2002                      ","2002-03-26","08:54:11"
"45247",21,"4/a1) Uzavření smluv o poskytnutí dotací z rozpočtu města /FO/","2002-03-26","08:55:16"
"45248",21,"4/a2) Dodatek č.1 k dohodě o zrušení podílového spoluvlastnictví - Bezručova vyhlídka","2002-03-26","08:56:24"
"45249",21,"4/ b) Poskytnutí investiční dotace na nákup autobusů MHD","2002-03-26","09:00:20"
"45250",21,"4/ c) Dotace z charitativního fondu Města  Frýdek-Místek                                  ","2002-03-26","09:01:34"
"45251",21,"4/d) bod 2-3   hlasovánízvlášť                                                                                                       ","2002-03-26","09:06:03"
"45252",21,"4/d) Dotace ze zdravotního fondu Města Frýdek-Místek                               ","2002-03-26","09:06:31"
"45253",21,"                  ","2002-03-26","09:07:20"
"45254",21,"4/e) Smlouvy o poskytnutí neinv. dotace z rozpočtu města  - umístění občanů                    ","2002-03-26","09:10:18"
"45255",21,"4/f) Smlouvy o poskytnutí neinv. dotace z rozpočtu města nezisk.org.","2002-03-26","09:11:14"
